FractureX[m],FractureY[m],FractureZ[m],Formation
14667089.25,4523270.363,-6301.662641,Fracture
14667600.11,4523265.365,-6282.110787,Fracture
14667908.52,4523288.49,-6310.389998,Fracture
14668349.72,4523289.149,-6297.360559,Fracture
14668914.07,4523289.964,-6302.146408,Fracture
14668627.58,4523295.422,-6291.95794,Fracture
14665979.32,4523303.52,-6311.650813,Fracture
14667523.27,4523292.904,-6281.616629,Fracture
14670134.31,4523333.117,-6311.997062,Fracture
14665902.46,4523365.332,-6284.936652,Fracture
14668453.97,4523396.517,-6308.884288,Fracture
14670710.8,4523398.253,-6313.143722,Fracture
14668319.05,4523425.298,-6307.720927,Fracture
14668034.92,4523439.032,-6301.497482,Fracture
14667695.8,4523420.371,-6280.040161,Fracture
14667931.43,4523451.03,-6308.724573,Fracture
14669673.14,4523440.672,-6318.845761,Fracture
14668665.81,4523454.116,-6301.394762,Fracture
14667123.44,4523455.936,-6279.449262,Fracture
14667109.93,4523471.583,-6296.997121,Fracture
14666012.41,4523485.98,-6291.224884,Fracture
14666045.17,4523490.47,-6279.721785,Fracture
14669847.51,4523505.908,-6306.900064,Fracture
14667956.7,4523522.286,-6312.370752,Fracture
14666559.26,4523508.106,-6291.391874,Fracture
14668033.48,4523531.873,-6287.869833,Fracture
14668365.11,4523538.163,-6288.486305,Fracture
14668986.5,4523539.919,-6292.907043,Fracture
14667603.37,4523528.937,-6306.96988,Fracture
14667707.46,4523526.403,-6282.31496,Fracture
14668059.92,4523551.086,-6285.812265,Fracture
14668097,4523555.151,-6287.298076,Fracture
14668111.39,4523549.025,-6298.834236,Fracture
14667193.79,4523550.835,-6303.171006,Fracture
14668791.16,4523567.216,-6299.652127,Fracture
14669143.9,4523578.3,-6310.7656,Fracture
14665997.41,4523579.504,-6277.482955,Fracture
14667066.91,4523595.578,-6307.89967,Fracture
14668128.04,4523611.535,-6286.141187,Fracture
14669001.44,4523602.371,-6310.012525,Fracture
14669870.7,4523600.431,-6309.852828,Fracture
14667367.56,4523615.541,-6284.188631,Fracture
14667764.51,4523602.742,-6284.845279,Fracture
14667120.33,4523637.494,-6304.997666,Fracture
14669963.89,4523651.975,-6302.927646,Fracture
14669955.18,4523662.3,-6312.549408,Fracture
14667042.1,4523662.849,-6276.908207,Fracture
14668070.91,4523680.428,-6291.115264,Fracture
14668424.44,4523670.076,-6302.263728,Fracture
14668612.67,4523672.653,-6287.757135,Fracture
14667159.58,4523666.649,-6278.467817,Fracture
14668146.22,4523696.257,-6312.033537,Fracture
14668646.52,4523685.16,-6307.221436,Fracture
14665450.05,4523682.678,-6304.995007,Fracture
14665928.78,4523694.027,-6287.517987,Fracture
14666992.36,4523693.596,-6280.811023,Fracture
14668467.21,4523704.246,-6305.779002,Fracture
14667649.14,4523698.026,-6278.153353,Fracture
14667500.13,4523720.598,-6303.788513,Fracture
14667556.37,4523720.316,-6278.546231,Fracture
14668104.45,4523753.277,-6295.314819,Fracture
14669259.84,4523762.45,-6309.148728,Fracture
14670156,4523762.902,-6311.604997,Fracture
14669895.61,4523772.896,-6323.425411,Fracture
14665903.57,4523780.368,-6284.621738,Fracture
14666967.34,4523783.353,-6280.417234,Fracture
14668750.17,4523799.103,-6303.977549,Fracture
14668528.01,4523803.965,-6296.218376,Fracture
14670374.08,4523797.191,-6312.598911,Fracture
14668130.19,4523819.386,-6292.063025,Fracture
14668169.26,4523823.112,-6298.559171,Fracture
14666139.91,4523812.869,-6299.097561,Fracture
14667377.1,4523824.2,-6294.175777,Fracture
14669213.14,4523840.814,-6291.331083,Fracture
14668384.34,4523859.565,-6291.669931,Fracture
14669981.32,4523854.58,-6302.177508,Fracture
14666524.82,4523853.212,-6298.397597,Fracture
14666715.07,4523867.123,-6292.416071,Fracture
14668235.38,4523896.256,-6295.380813,Fracture
14667742.7,4523879.887,-6283.622301,Fracture
14665692.6,4523896.4,-6288.607126,Fracture
14667455.43,4523901.449,-6281.969544,Fracture
14667962.88,4523907.745,-6298.191629,Fracture
14667679.23,4523920.377,-6289.132262,Fracture
14666999.28,4523942.572,-6306.689135,Fracture
14668249.69,4523968.685,-6304.779962,Fracture
14667065.27,4523965.305,-6298.559043,Fracture
14667345.78,4523957.496,-6294.918303,Fracture
14667674.76,4523975.248,-6292.11515,Fracture
14668243.8,4524006.66,-6306.610249,Fracture
14668661.2,4523998.372,-6313.817797,Fracture
14669177.3,4523993.947,-6305.91651,Fracture
14668770.16,4524021.93,-6310.34905,Fracture
14667393.84,4524018.137,-6281.66062,Fracture
14668851.16,4524036.767,-6283.846064,Fracture
14667309.69,4524030.84,-6294.453018,Fracture
14667774.61,4524027.701,-6307.714524,Fracture
14667839.45,4524024.438,-6296.506135,Fracture
14668267.82,4524052.9,-6314.197179,Fracture
14668265.1,4524047.511,-6302.015662,Fracture
14668029.96,4524037.476,-6300.545465,Fracture
14668382.97,4524056.037,-6308.643205,Fracture
14667257.86,4524059.509,-6291.232949,Fracture
14667821.45,4524059.352,-6288.322343,Fracture
14668072.63,4524056.513,-6309.675452,Fracture
